model,source_lib,target_lib,train_samples,val_samples,test_samples,train_pos_count,train_neg_count,pos_weight,best_epoch,best_val_bal_acc,eval_threshold,checkpoint_file,predictions_file,precision,recall,tnr,f1,bal_acc,auroc,auprc,fp,fn,tp,tn
gnn4gate_like,ASAP7,NANGATE15,71111,11503,81765,8909,62202,6.981928387024357,3,1.0,0.5,checkpoint__gnn4gate_like__ASAP7__to__NANGATE15.pt,predictions__gnn4gate_like__ASAP7__to__NANGATE15.npz,0.29922090293607323,0.9423550841101468,0.715622929092114,0.4542168052471208,0.8289890066011304,0.968217823492276,0.944230475588071,20598,538,8795,51834
gnn4gate_like,ASAP7,SAED14,71111,11503,82265,8909,62202,6.981928387024357,6,1.0,0.5,checkpoint__gnn4gate_like__ASAP7__to__SAED14.pt,predictions__gnn4gate_like__ASAP7__to__SAED14.npz,1.0,0.2296738631143776,1.0,0.3735524841240195,0.6148369315571888,0.8463632682959475,0.6892184904939224,0,6708,2000,73557
gnn4gate_like,NANGATE15,ASAP7,70320,11445,82614,8576,61744,7.199626865671642,1,1.0,0.5,checkpoint__gnn4gate_like__NANGATE15__to__ASAP7.pt,predictions__gnn4gate_like__NANGATE15__to__ASAP7.npz,0.23031396607722843,0.9976031679866612,0.5618614588183736,0.3742303707902504,0.7797323134025174,0.9235209834399785,0.485179710270597,31992,23,9573,41026
gnn4gate_like,NANGATE15,SAED14,70320,11445,82265,8576,61744,7.199626865671642,3,1.0,0.5,checkpoint__gnn4gate_like__NANGATE15__to__SAED14.pt,predictions__gnn4gate_like__NANGATE15__to__SAED14.npz,0.10585303592050083,1.0,0.0,0.1914414166840711,0.5,0.5,0.10585303592050083,73557,0,8708,0
gnn4gate_like,SAED14,ASAP7,70719,11546,82614,8082,62637,7.75018559762435,1,1.0,0.5,checkpoint__gnn4gate_like__SAED14__to__ASAP7.pt,predictions__gnn4gate_like__SAED14__to__ASAP7.npz,0.35212937494071894,0.773759899958316,0.8129091456901039,0.48399713186884813,0.7933345228242099,0.8755849732747324,0.6756141515939956,13661,2171,7425,59357
gnn4gate_like,SAED14,NANGATE15,70719,11546,81765,8082,62637,7.75018559762435,1,1.0,0.5,checkpoint__gnn4gate_like__SAED14__to__NANGATE15.pt,predictions__gnn4gate_like__SAED14__to__NANGATE15.npz,0.9843478260869565,0.18193506910961105,0.9996272365805169,0.3071079761258817,0.5907811528450639,0.8199111875409921,0.5754938445476676,27,7635,1698,72405
trojansaint_like,ASAP7,NANGATE15,71111,11503,81765,8909,62202,6.981928387024357,2,1.0,0.5,checkpoint__trojansaint_like__ASAP7__to__NANGATE15.pt,predictions__trojansaint_like__ASAP7__to__NANGATE15.npz,0.23687308085977482,0.9918568520304296,0.5882620941020543,0.3824179455931258,0.790059473066242,0.989540346406862,0.9679648639450923,29823,76,9257,42609
trojansaint_like,ASAP7,SAED14,71111,11503,82265,8909,62202,6.981928387024357,1,1.0,0.5,checkpoint__trojansaint_like__ASAP7__to__SAED14.pt,predictions__trojansaint_like__ASAP7__to__SAED14.npz,0.13785616937656492,0.9989664676159853,0.26039669915847574,0.24227823422921596,0.6296815833872305,0.9703579639059985,0.8354263656941104,54403,9,8699,19154
trojansaint_like,NANGATE15,ASAP7,70320,11445,82614,8576,61744,7.199626865671642,4,1.0,0.5,checkpoint__trojansaint_like__NANGATE15__to__ASAP7.pt,predictions__trojansaint_like__NANGATE15__to__ASAP7.npz,0.19969201315187082,1.0,0.47330795146402255,0.33290546400693843,0.7366539757320113,0.8839339213280032,0.5087178290780194,38458,0,9596,34560
trojansaint_like,NANGATE15,SAED14,70320,11445,82265,8576,61744,7.199626865671642,3,1.0,0.5,checkpoint__trojansaint_like__NANGATE15__to__SAED14.pt,predictions__trojansaint_like__NANGATE15__to__SAED14.npz,0.13958259865995576,1.0,0.270253001073997,0.24497144625425493,0.6351265005369985,0.9618557540729322,0.7583706963608076,53678,0,8708,19879
